Women autonomy,Employment,Household wealth,Education,Region of residence,Household structure,Religion,Age,Place of residence,Marital status,Number of children living,Survey_Weight,PSU_Cluster,Survey_Strata
Yes,yes,middle,primary,sud-kivu,Monogamous,protestant,30-34,rural,married,1-2,2.158285,478,15
Yes,yes,poorer,primary,sud-kivu,Monogamous,protestant,35-39,rural,living with partner,5+,2.158285,478,15
Yes,yes,richer,primary,sud-kivu,Monogamous,protestant,20-24,rural,married,1-2,2.158285,478,15
Yes,yes,richer,primary,sud-kivu,Monogamous,catholic,20-24,rural,married,0,2.158285,478,15
Yes,yes,richer,primary,sud-kivu,Monogamous,protestant,30-34,rural,married,3-4,2.158285,478,15
Yes,yes,middle,secondary,sud-kivu,Polygamous,catholic,25-29,rural,living with partner,3-4,2.158285,478,15
No,no,middle,primary,sud-kivu,Monogamous,protestant,20-24,rural,living with partner,1-2,2.158285,478,15
Yes,yes,richer,primary,sud-kivu,Monogamous,protestant,30-34,rural,married,5+,2.158285,478,15
Yes,yes,middle,no education,sud-kivu,Monogamous,protestant,25-29,rural,married,5+,2.158285,478,15
No,no,middle,secondary,sud-kivu,Monogamous,protestant,30-34,rural,living with partner,1-2,2.158285,478,15
No,no,richer,secondary,sud-kivu,Monogamous,catholic,35-39,rural,married,5+,2.158285,478,15
Yes,yes,richer,no education,sud-kivu,Monogamous,catholic,45-49,rural,married,5+,2.158285,478,15
No,yes,richer,primary,sud-kivu,Monogamous,catholic,25-29,rural,living with partner,0,2.158285,478,15
Yes,no,richer,secondary,sud-kivu,Monogamous,catholic,20-24,rural,living with partner,1-2,2.158285,478,15
Yes,no,middle,secondary,sud-kivu,Monogamous,no religion,25-29,rural,married,1-2,2.158285,478,15
Yes,yes,middle,no education,sud-kivu,Monogamous,catholic,40-44,rural,married,3-4,2.158285,478,15
No,yes,middle,primary,sud-kivu,Monogamous,protestant,25-29,rural,living with partner,5+,2.158285,478,15
Yes,no,richer,no education,sud-kivu,Monogamous,protestant,35-39,rural,married,5+,2.158285,478,15
Yes,no,richer,secondary,sud-kivu,Monogamous,catholic,20-24,rural,married,1-2,2.158285,478,15
Yes,yes,middle,no education,sud-kivu,Monogamous,protestant,20-24,rural,living with partner,1-2,2.158285,478,15
Yes,yes,richest,secondary,mongala,Polygamous,non denominational/charismatic/apostolic,45-49,urban,married,1-2,1.32595,479,34
No,no,richest,secondary,mongala,Monogamous,non denominational/charismatic/apostolic,20-24,urban,living with partner,1-2,1.32595,479,34
Yes,no,richer,secondary,mongala,Monogamous,non denominational/charismatic/apostolic,45-49,urban,married,3-4,1.32595,479,34
Yes,no,richest,secondary,mongala,Monogamous,non denominational/charismatic/apostolic,25-29,urban,living with partner,1-2,1.32595,479,34
No,yes,richer,secondary,mongala,Monogamous,non denominational/charismatic/apostolic,40-44,urban,married,3-4,1.32595,479,34
Yes,yes,richer,secondary,mongala,Monogamous,catholic,25-29,urban,married,3-4,1.32595,479,34
No,no,richer,secondary,mongala,Polygamous,non denominational/charismatic/apostolic,25-29,urban,married,1-2,1.32595,479,34
No,yes,richer,primary,mongala,Monogamous,non denominational/charismatic/apostolic,30-34,urban,living with partner,3-4,1.32595,479,34
Yes,no,richer,secondary,mongala,Monogamous,muslim,25-29,urban,married,1-2,1.32595,479,34
No,no,richer,secondary,mongala,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,1-2,1.32595,479,34
Yes,no,richer,secondary,mongala,Monogamous,catholic,20-24,urban,married,0,1.32595,479,34
Yes,yes,richer,secondary,mongala,Monogamous,catholic,30-34,urban,married,3-4,1.32595,479,34
Yes,yes,richer,secondary,mongala,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,1-2,1.32595,479,34
Yes,no,richer,secondary,mongala,Monogamous,non denominational/charismatic/apostolic,15-19,urban,married,1-2,1.32595,479,34
Yes,yes,richer,secondary,mongala,Monogamous,non denominational/charismatic/apostolic,40-44,urban,married,5+,1.32595,479,34
No,no,richer,secondary,mongala,Monogamous,non denominational/charismatic/apostolic,15-19,urban,living with partner,0,1.32595,479,34
No,no,richer,secondary,mongala,Don't know,non denominational/charismatic/apostolic,20-24,urban,living with partner,0,1.32595,479,34
No,yes,middle,secondary,mongala,Polygamous,non denominational/charismatic/apostolic,35-39,urban,living with partner,5+,1.32595,479,34
No,yes,richer,secondary,mongala,Don't know,non denominational/charismatic/apostolic,25-29,urban,living with partner,1-2,1.32595,479,34
No,no,richer,secondary,mongala,Monogamous,non denominational/charismatic/apostolic,15-19,urban,living with partner,0,1.32595,479,34
Yes,no,richer,secondary,mongala,Monogamous,non denominational/charismatic/apostolic,20-24,urban,living with partner,1-2,1.32595,479,34
Yes,yes,middle,secondary,mongala,Monogamous,non denominational/charismatic/apostolic,45-49,urban,living with partner,3-4,1.32595,479,34
No,yes,richest,secondary,mongala,Monogamous,protestant,20-24,urban,living with partner,1-2,1.32595,479,34
Yes,yes,richer,no education,sud ubangi,Polygamous,protestant,35-39,rural,married,0,0.214262,480,7
Yes,yes,middle,primary,sud ubangi,Monogamous,non denominational/charismatic/apostolic,30-34,rural,married,3-4,0.214262,480,7
Yes,yes,richer,secondary,sud ubangi,Monogamous,catholic,45-49,rural,married,5+,0.214262,480,7
No,yes,richer,secondary,sud ubangi,Monogamous,protestant,45-49,rural,married,5+,0.214262,480,7
Yes,no,richer,secondary,sud ubangi,Monogamous,catholic,20-24,rural,married,3-4,0.214262,480,7
No,yes,richer,primary,sud ubangi,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,3-4,0.214262,480,7
No,yes,richest,secondary,sud ubangi,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,0,0.214262,480,7
Yes,yes,middle,primary,sud ubangi,Monogamous,non denominational/charismatic/apostolic,35-39,rural,married,5+,0.214262,480,7
Yes,yes,middle,primary,sud ubangi,Polygamous,protestant,20-24,rural,living with partner,3-4,0.214262,480,7
Yes,yes,richer,secondary,sud ubangi,Polygamous,catholic,25-29,rural,living with partner,1-2,0.214262,480,7
Yes,yes,richer,primary,sud ubangi,Monogamous,catholic,35-39,rural,married,5+,0.214262,480,7
No,yes,middle,primary,sud ubangi,Polygamous,non denominational/charismatic/apostolic,35-39,rural,living with partner,5+,0.214262,480,7
No,yes,richer,primary,sud ubangi,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,1-2,0.214262,480,7
Yes,no,richer,no education,sud ubangi,Polygamous,protestant,35-39,rural,married,1-2,0.214262,480,7
Yes,yes,richer,secondary,sud ubangi,Monogamous,catholic,25-29,rural,married,3-4,0.214262,480,7
Yes,yes,middle,no education,sud ubangi,Polygamous,catholic,35-39,rural,married,3-4,0.214262,480,7
Yes,yes,richer,no education,sud ubangi,Polygamous,catholic,45-49,rural,married,3-4,0.214262,480,7
No,yes,richer,secondary,sud ubangi,Monogamous,non denominational/charismatic/apostolic,40-44,rural,married,1-2,0.214262,480,7
Yes,yes,richer,secondary,sud ubangi,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,3-4,0.214262,480,7
Yes,yes,richer,primary,sud ubangi,Don't know,protestant,25-29,rural,married,3-4,0.214262,480,7
Yes,yes,richer,secondary,sud-kivu,Monogamous,protestant,45-49,rural,married,5+,2.615599,481,15
No,yes,middle,primary,sud-kivu,Monogamous,protestant,30-34,rural,married,5+,2.615599,481,15
Yes,yes,middle,primary,sud-kivu,Monogamous,protestant,20-24,rural,living with partner,1-2,2.615599,481,15
Yes,no,richer,secondary,sud-kivu,Monogamous,protestant,20-24,rural,married,3-4,2.615599,481,15
No,no,middle,primary,sud-kivu,Monogamous,protestant,30-34,rural,married,5+,2.615599,481,15
Yes,yes,richer,primary,sud-kivu,Monogamous,protestant,30-34,rural,living with partner,5+,2.615599,481,15
Yes,no,richer,secondary,sud-kivu,Monogamous,protestant,25-29,rural,married,5+,2.615599,481,15
Yes,no,middle,primary,sud-kivu,Monogamous,protestant,40-44,rural,living with partner,5+,2.615599,481,15
Yes,yes,richer,primary,sud-kivu,Polygamous,protestant,35-39,rural,married,5+,2.615599,481,15
Yes,yes,richer,secondary,sud-kivu,Monogamous,protestant,35-39,rural,living with partner,3-4,2.615599,481,15
No,yes,richer,secondary,sud-kivu,Polygamous,catholic,35-39,rural,living with partner,5+,2.615599,481,15
Yes,no,middle,no education,sud-kivu,Monogamous,protestant,45-49,rural,married,3-4,2.615599,481,15
Yes,no,middle,primary,sud-kivu,Monogamous,protestant,20-24,rural,living with partner,1-2,2.615599,481,15
No,yes,middle,secondary,sud-kivu,Monogamous,protestant,20-24,rural,living with partner,3-4,2.615599,481,15
Yes,yes,richer,secondary,sud-kivu,Monogamous,protestant,20-24,rural,living with partner,3-4,2.615599,481,15
Yes,yes,middle,no education,sud-kivu,Monogamous,protestant,25-29,rural,married,3-4,2.615599,481,15
Yes,yes,richer,secondary,sud-kivu,Monogamous,protestant,25-29,rural,married,5+,2.615599,481,15
Yes,yes,middle,primary,sud-kivu,Monogamous,protestant,25-29,rural,married,3-4,2.615599,481,15
No,yes,poorest,no education,sud-kivu,Monogamous,protestant,30-34,rural,married,5+,2.615599,481,15
Yes,no,richer,higher,sud-kivu,Monogamous,protestant,25-29,rural,married,1-2,2.615599,481,15
Yes,no,middle,no education,sud-kivu,Monogamous,protestant,30-34,rural,living with partner,5+,2.615599,481,15
No,yes,richer,secondary,sud-kivu,Monogamous,protestant,20-24,rural,married,3-4,2.615599,481,15
No,yes,middle,primary,sud-kivu,Monogamous,protestant,35-39,rural,married,5+,2.615599,481,15
Yes,no,middle,no education,sud-kivu,Monogamous,protestant,45-49,rural,living with partner,5+,2.615599,481,15
Yes,yes,middle,secondary,sud-kivu,Monogamous,protestant,25-29,rural,married,1-2,2.615599,481,15
Yes,no,middle,secondary,sud-kivu,Monogamous,protestant,20-24,rural,living with partner,0,2.615599,481,15
Yes,yes,poorest,no education,sud-kivu,Monogamous,protestant,30-34,rural,living with partner,5+,2.615599,481,15
Yes,no,poorest,primary,bas-uele,Monogamous,protestant,20-24,rural,married,1-2,0.408065,482,11
Yes,no,poorer,primary,bas-uele,Monogamous,catholic,45-49,rural,living with partner,5+,0.408065,482,11
Yes,no,poorer,primary,bas-uele,Monogamous,catholic,35-39,rural,married,5+,0.408065,482,11
Yes,yes,middle,primary,bas-uele,Monogamous,catholic,20-24,rural,living with partner,0,0.408065,482,11
Yes,yes,poorest,primary,bas-uele,Monogamous,protestant,40-44,rural,living with partner,3-4,0.408065,482,11
No,yes,poorer,secondary,bas-uele,Monogamous,protestant,35-39,rural,living with partner,1-2,0.408065,482,11
No,yes,poorest,primary,bas-uele,Monogamous,protestant,15-19,rural,living with partner,1-2,0.408065,482,11
Yes,no,poorest,primary,bas-uele,Monogamous,catholic,35-39,rural,married,3-4,0.408065,482,11
Yes,no,poorer,primary,bas-uele,Monogamous,catholic,20-24,rural,married,1-2,0.408065,482,11
Yes,yes,poorer,secondary,bas-uele,Monogamous,catholic,40-44,rural,living with partner,1-2,0.408065,482,11
No,yes,poorer,primary,bas-uele,Monogamous,catholic,25-29,rural,living with partner,3-4,0.408065,482,11
No,yes,middle,secondary,bas-uele,Monogamous,non denominational/charismatic/apostolic,25-29,rural,living with partner,5+,0.408065,482,11
No,yes,poorer,secondary,bas-uele,Monogamous,catholic,20-24,rural,married,1-2,0.408065,482,11
No,yes,poorest,primary,bas-uele,Monogamous,catholic,30-34,rural,living with partner,5+,0.408065,482,11
Yes,yes,poorer,primary,bas-uele,Monogamous,catholic,25-29,rural,married,1-2,0.408065,482,11
Yes,yes,middle,secondary,bas-uele,Monogamous,catholic,30-34,rural,living with partner,0,0.408065,482,11
No,no,poorer,secondary,sankuru,Monogamous,non denominational/charismatic/apostolic,15-19,rural,married,1-2,0.193148,483,22
No,no,poorest,secondary,sankuru,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,3-4,0.193148,483,22
No,yes,middle,secondary,sankuru,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,3-4,0.193148,483,22
No,yes,poorer,secondary,sankuru,Monogamous,catholic,25-29,rural,married,3-4,0.193148,483,22
No,no,poorest,primary,sankuru,Monogamous,non denominational/charismatic/apostolic,40-44,rural,married,3-4,0.193148,483,22
Yes,no,poorer,secondary,sankuru,Monogamous,non denominational/charismatic/apostolic,35-39,rural,married,3-4,0.193148,483,22
No,yes,poorer,secondary,sankuru,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,0,0.193148,483,22
No,yes,poorer,primary,sankuru,Polygamous,non denominational/charismatic/apostolic,40-44,rural,married,5+,0.193148,483,22
No,yes,middle,secondary,sankuru,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,5+,0.193148,483,22
No,no,middle,secondary,sankuru,Monogamous,catholic,45-49,rural,married,5+,0.193148,483,22
No,yes,middle,secondary,sankuru,Monogamous,catholic,15-19,rural,married,1-2,0.193148,483,22
No,yes,poorer,secondary,sankuru,Polygamous,animist/traditional religion,35-39,rural,married,5+,0.193148,483,22
No,yes,poorer,secondary,sankuru,Polygamous,non denominational/charismatic/apostolic,30-34,rural,married,3-4,0.193148,483,22
No,yes,middle,secondary,sankuru,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,0,0.193148,483,22
No,no,middle,no education,sankuru,Polygamous,non denominational/charismatic/apostolic,40-44,rural,married,0,0.193148,483,22
No,yes,richer,secondary,sankuru,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,1-2,0.193148,483,22
No,no,poorer,no education,sankuru,Monogamous,animist/traditional religion,25-29,rural,married,1-2,0.193148,483,22
No,no,middle,no education,sankuru,Monogamous,non denominational/charismatic/apostolic,35-39,rural,married,3-4,0.193148,483,22
No,no,poorest,primary,sankuru,Monogamous,non denominational/charismatic/apostolic,30-34,rural,married,3-4,0.193148,483,22
No,no,poorest,secondary,sankuru,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,3-4,0.193148,483,22
Yes,no,middle,secondary,sankuru,Monogamous,non denominational/charismatic/apostolic,30-34,rural,married,3-4,0.193148,483,22
No,yes,poorest,no education,sankuru,Monogamous,non denominational/charismatic/apostolic,40-44,rural,married,5+,0.193148,483,22
Yes,no,richer,secondary,sankuru,Polygamous,catholic,30-34,rural,married,0,0.193148,483,22
Yes,no,poorest,secondary,sankuru,Polygamous,protestant,25-29,rural,married,3-4,0.193148,483,22
Yes,no,middle,secondary,sankuru,Monogamous,non denominational/charismatic/apostolic,30-34,rural,married,3-4,0.193148,483,22
No,yes,poorer,no education,haut uele,Monogamous,catholic,20-24,rural,living with partner,1-2,0.535108,484,12
No,no,middle,secondary,haut uele,Monogamous,protestant,20-24,rural,living with partner,0,0.535108,484,12
Yes,no,poorer,secondary,haut uele,Don't know,catholic,25-29,rural,living with partner,3-4,0.535108,484,12
Yes,no,poorer,secondary,haut uele,Polygamous,catholic,20-24,rural,living with partner,1-2,0.535108,484,12
Yes,yes,poorest,primary,haut uele,Monogamous,catholic,15-19,rural,living with partner,0,0.535108,484,12
Yes,no,poorer,primary,haut uele,Monogamous,catholic,30-34,rural,living with partner,3-4,0.535108,484,12
Yes,no,middle,primary,haut uele,Monogamous,catholic,35-39,rural,married,3-4,0.535108,484,12
Yes,no,poorer,primary,haut uele,Monogamous,catholic,20-24,rural,living with partner,3-4,0.535108,484,12
Yes,no,poorer,primary,haut uele,Monogamous,protestant,35-39,rural,living with partner,3-4,0.535108,484,12
No,yes,middle,secondary,haut uele,Polygamous,catholic,20-24,rural,living with partner,3-4,0.535108,484,12
Yes,yes,poorer,primary,haut uele,Polygamous,protestant,25-29,rural,living with partner,3-4,0.535108,484,12
No,yes,poorer,primary,haut uele,Monogamous,protestant,35-39,rural,living with partner,3-4,0.535108,484,12
Yes,no,middle,no education,haut uele,Monogamous,catholic,40-44,rural,living with partner,3-4,0.535108,484,12
Yes,no,middle,no education,haut uele,Monogamous,catholic,20-24,rural,living with partner,1-2,0.535108,484,12
Yes,no,poorest,no education,haut uele,Monogamous,protestant,35-39,rural,living with partner,1-2,0.535108,484,12
No,yes,poorer,primary,haut uele,Monogamous,catholic,25-29,rural,living with partner,0,0.535108,484,12
Yes,no,poorer,no education,haut uele,Monogamous,protestant,15-19,rural,living with partner,1-2,0.535108,484,12
Yes,no,poorer,primary,haut uele,Monogamous,catholic,40-44,rural,living with partner,1-2,0.535108,484,12
No,yes,middle,no education,haut uele,Monogamous,protestant,40-44,rural,living with partner,3-4,0.535108,484,12
No,yes,middle,primary,haut uele,Monogamous,catholic,20-24,rural,living with partner,1-2,0.535108,484,12
No,yes,poorest,no education,kasaï central,Monogamous,protestant,30-34,rural,married,3-4,1.263276,485,25
No,yes,poorest,no education,kasaï central,Monogamous,protestant,40-44,rural,married,3-4,1.263276,485,25
Yes,yes,poorest,no education,kasaï central,Polygamous,protestant,20-24,rural,married,1-2,1.263276,485,25
No,yes,poorer,no education,kasaï central,Monogamous,protestant,35-39,rural,married,3-4,1.263276,485,25
No,yes,poorer,no education,kasaï central,Monogamous,protestant,20-24,rural,married,1-2,1.263276,485,25
No,yes,poorest,no education,kasaï central,Monogamous,animist/traditional religion,35-39,rural,married,5+,1.263276,485,25
No,yes,poorest,no education,kasaï central,Monogamous,protestant,25-29,rural,married,3-4,1.263276,485,25
No,yes,poorest,primary,kasaï central,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,1-2,1.263276,485,25
Yes,yes,poorest,primary,kasaï central,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,1-2,1.263276,485,25
No,yes,poorer,no education,kasaï central,Monogamous,non denominational/charismatic/apostolic,30-34,rural,married,5+,1.263276,485,25
No,yes,middle,primary,kasaï central,Monogamous,non denominational/charismatic/apostolic,35-39,rural,married,5+,1.263276,485,25
No,yes,poorer,no education,kasaï central,Polygamous,protestant,30-34,rural,married,5+,1.263276,485,25
Yes,yes,poorer,no education,kasaï central,Polygamous,catholic,25-29,rural,married,1-2,1.263276,485,25
No,yes,poorest,secondary,kasaï central,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,3-4,1.263276,485,25
No,yes,poorer,secondary,kasaï central,Monogamous,protestant,45-49,rural,married,5+,1.263276,485,25
No,yes,middle,secondary,kasaï central,Monogamous,protestant,25-29,rural,married,3-4,1.263276,485,25
No,yes,middle,no education,kasaï central,Monogamous,catholic,20-24,rural,married,1-2,1.263276,485,25
No,yes,poorer,primary,kasaï central,Monogamous,non denominational/charismatic/apostolic,30-34,rural,married,1-2,1.263276,485,25
No,yes,poorer,no education,kasaï central,Polygamous,protestant,20-24,rural,married,3-4,1.263276,485,25
Yes,yes,poorest,primary,kasaï central,Monogamous,protestant,25-29,rural,living with partner,1-2,1.263276,485,25
Yes,yes,poorest,no education,kasaï central,Monogamous,protestant,30-34,rural,married,3-4,1.263276,485,25
No,yes,poorest,primary,kasaï central,Polygamous,animist/traditional religion,35-39,rural,married,5+,1.263276,485,25
No,no,poorest,secondary,kasaï central,Monogamous,animist/traditional religion,15-19,rural,married,1-2,1.263276,485,25
No,yes,poorest,no education,kasaï central,Polygamous,protestant,35-39,rural,married,5+,1.263276,485,25
Yes,yes,poorest,primary,kasaï central,Monogamous,protestant,30-34,rural,married,5+,1.263276,485,25
No,yes,poorest,primary,kasaï central,Monogamous,non denominational/charismatic/apostolic,30-34,rural,married,5+,1.263276,485,25
No,yes,poorest,no education,kasaï central,Monogamous,non denominational/charismatic/apostolic,30-34,rural,married,3-4,1.263276,485,25
No,yes,poorer,no education,kasaï central,Polygamous,catholic,25-29,rural,married,3-4,1.263276,485,25
No,yes,middle,primary,kasaï central,Polygamous,protestant,20-24,rural,married,0,1.263276,485,25
No,yes,poorest,no education,kasaï central,Polygamous,protestant,25-29,rural,married,1-2,1.263276,485,25
Yes,yes,poorest,primary,kasaï central,Monogamous,non denominational/charismatic/apostolic,30-34,rural,married,1-2,1.263276,485,25
No,yes,poorest,no education,kasaï central,Polygamous,protestant,40-44,rural,married,3-4,1.263276,485,25
No,yes,poorest,primary,sankuru,Monogamous,non denominational/charismatic/apostolic,30-34,rural,married,3-4,0.34387,486,22
No,no,poorer,no education,sankuru,Monogamous,non denominational/charismatic/apostolic,35-39,rural,married,5+,0.34387,486,22
No,no,poorest,secondary,sankuru,Polygamous,jehovah witness,15-19,rural,married,1-2,0.34387,486,22
No,no,poorest,no education,sankuru,Polygamous,no religion,35-39,rural,married,5+,0.34387,486,22
No,no,poorest,no education,sankuru,Polygamous,non denominational/charismatic/apostolic,20-24,rural,married,1-2,0.34387,486,22
No,no,poorer,secondary,sankuru,Monogamous,non denominational/charismatic/apostolic,30-34,rural,married,1-2,0.34387,486,22
No,no,poorest,secondary,sankuru,Monogamous,non denominational/charismatic/apostolic,30-34,rural,married,3-4,0.34387,486,22
No,no,poorest,no education,sankuru,Monogamous,jehovah witness,35-39,rural,married,5+,0.34387,486,22
No,no,poorest,no education,sankuru,Monogamous,non denominational/charismatic/apostolic,40-44,rural,married,5+,0.34387,486,22
No,no,poorest,no education,sankuru,Monogamous,non denominational/charismatic/apostolic,45-49,rural,married,5+,0.34387,486,22
No,no,poorest,no education,sankuru,Monogamous,jehovah witness,15-19,rural,married,1-2,0.34387,486,22
No,no,poorest,primary,sankuru,Monogamous,jehovah witness,25-29,rural,married,3-4,0.34387,486,22
No,no,poorest,no education,sankuru,Polygamous,non denominational/charismatic/apostolic,40-44,rural,married,3-4,0.34387,486,22
No,no,poorest,no education,sankuru,Polygamous,jehovah witness,30-34,rural,living with partner,5+,0.34387,486,22
No,no,poorest,secondary,sankuru,Monogamous,jehovah witness,30-34,rural,living with partner,1-2,0.34387,486,22
No,no,poorest,no education,sankuru,Monogamous,non denominational/charismatic/apostolic,35-39,rural,living with partner,3-4,0.34387,486,22
No,yes,poorest,no education,sankuru,Monogamous,jehovah witness,40-44,rural,married,0,0.34387,486,22
No,no,poorer,secondary,sankuru,Monogamous,jehovah witness,30-34,rural,married,5+,0.34387,486,22
No,no,poorest,primary,sankuru,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,3-4,0.34387,486,22
No,no,poorest,secondary,sankuru,Monogamous,jehovah witness,35-39,rural,living with partner,5+,0.34387,486,22
No,no,middle,primary,sankuru,Polygamous,non denominational/charismatic/apostolic,25-29,rural,married,3-4,0.34387,486,22
No,no,middle,primary,sankuru,Polygamous,non denominational/charismatic/apostolic,15-19,rural,married,0,0.34387,486,22
No,no,poorer,no education,sankuru,Polygamous,jehovah witness,20-24,rural,married,1-2,0.34387,486,22
No,no,poorer,no education,sankuru,Polygamous,non denominational/charismatic/apostolic,40-44,rural,living with partner,3-4,0.34387,486,22
No,no,poorest,no education,sankuru,Polygamous,kimbanguiste,35-39,rural,married,5+,0.34387,486,22
No,no,poorest,no education,sankuru,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,0,0.34387,486,22
No,no,poorest,no education,sankuru,Polygamous,non denominational/charismatic/apostolic,35-39,rural,married,1-2,0.34387,486,22
No,no,poorest,no education,sankuru,Monogamous,non denominational/charismatic/apostolic,40-44,rural,living with partner,1-2,0.34387,486,22
Yes,yes,richest,secondary,haut-katanga,Polygamous,protestant,45-49,urban,married,5+,1.190274,487,43
Yes,yes,richest,higher,haut-katanga,Monogamous,non denominational/charismatic/apostolic,35-39,urban,married,3-4,1.190274,487,43
No,yes,richest,higher,haut-katanga,Monogamous,non denominational/charismatic/apostolic,20-24,urban,married,0,1.190274,487,43
Yes,no,richest,secondary,haut-katanga,Don't know,non denominational/charismatic/apostolic,35-39,urban,married,3-4,1.190274,487,43
Yes,no,richest,secondary,haut-katanga,Monogamous,non denominational/charismatic/apostolic,35-39,urban,married,5+,1.190274,487,43
Yes,no,richest,secondary,haut-katanga,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,5+,1.190274,487,43
Yes,no,richest,secondary,haut-katanga,Monogamous,non denominational/charismatic/apostolic,20-24,urban,married,1-2,1.190274,487,43
Yes,no,richest,higher,haut-katanga,Monogamous,jehovah witness,35-39,urban,married,3-4,1.190274,487,43
Yes,no,richest,secondary,haut-katanga,Monogamous,non denominational/charismatic/apostolic,45-49,urban,married,3-4,1.190274,487,43
Yes,no,richest,secondary,haut-katanga,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,1-2,1.190274,487,43
Yes,yes,richest,higher,haut-katanga,Monogamous,non denominational/charismatic/apostolic,35-39,urban,married,1-2,1.190274,487,43
Yes,no,richest,higher,haut-katanga,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,1-2,1.190274,487,43
No,yes,richest,secondary,haut-katanga,Monogamous,catholic,30-34,urban,married,3-4,1.190274,487,43
No,no,richest,secondary,haut-katanga,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,5+,1.190274,487,43
Yes,yes,richest,secondary,haut-katanga,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,1-2,1.190274,487,43
Yes,no,richest,secondary,haut-katanga,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,1-2,1.190274,487,43
No,no,richest,higher,haut-katanga,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,1-2,1.190274,487,43
No,yes,richest,secondary,haut-katanga,Monogamous,jehovah witness,20-24,urban,married,1-2,1.190274,487,43
Yes,yes,richest,higher,haut-katanga,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,3-4,1.190274,487,43
Yes,no,richest,secondary,haut-katanga,Monogamous,catholic,20-24,urban,married,3-4,1.190274,487,43
Yes,no,richest,secondary,haut-katanga,Monogamous,catholic,30-34,urban,married,3-4,1.190274,487,43
Yes,yes,poorer,primary,kwilu,Monogamous,protestant,35-39,rural,married,3-4,2.233082,488,3
No,yes,poorer,no education,kwilu,Monogamous,protestant,20-24,rural,living with partner,0,2.233082,488,3
No,yes,poorer,secondary,kwilu,Monogamous,protestant,30-34,rural,living with partner,3-4,2.233082,488,3
Yes,yes,poorer,primary,kwilu,Polygamous,protestant,30-34,rural,married,5+,2.233082,488,3
Yes,yes,poorer,secondary,kwilu,Monogamous,protestant,20-24,rural,living with partner,3-4,2.233082,488,3
Yes,no,richer,secondary,kwilu,Monogamous,protestant,35-39,rural,married,3-4,2.233082,488,3
Yes,yes,middle,no education,kwilu,Polygamous,protestant,45-49,rural,married,5+,2.233082,488,3
Yes,yes,middle,no education,kwilu,Monogamous,protestant,35-39,rural,married,5+,2.233082,488,3
Yes,yes,poorer,primary,kwilu,Monogamous,protestant,20-24,rural,married,3-4,2.233082,488,3
Yes,no,poorer,no education,kwilu,Monogamous,protestant,40-44,rural,married,3-4,2.233082,488,3
Yes,yes,poorest,no education,kwilu,Monogamous,catholic,35-39,rural,living with partner,3-4,2.233082,488,3
Yes,yes,middle,primary,kwilu,Polygamous,protestant,30-34,rural,living with partner,3-4,2.233082,488,3
Yes,yes,poorer,secondary,kwilu,Polygamous,protestant,40-44,rural,married,5+,2.233082,488,3
Yes,no,poorest,no education,kwilu,Monogamous,protestant,35-39,rural,married,3-4,2.233082,488,3
No,yes,poorer,primary,kwilu,Monogamous,protestant,20-24,rural,living with partner,1-2,2.233082,488,3
Yes,yes,poorer,secondary,kwilu,Monogamous,protestant,25-29,rural,living with partner,5+,2.233082,488,3
Yes,yes,poorer,no education,kwilu,Monogamous,protestant,35-39,rural,living with partner,5+,2.233082,488,3
Yes,yes,poorest,no education,kwilu,Monogamous,protestant,30-34,rural,married,3-4,2.233082,488,3
Yes,yes,poorest,secondary,kwilu,Monogamous,protestant,20-24,rural,living with partner,3-4,2.233082,488,3
Yes,yes,middle,secondary,kwilu,Monogamous,protestant,15-19,rural,married,1-2,2.233082,488,3
Yes,yes,poorer,primary,kwilu,Monogamous,protestant,15-19,rural,living with partner,1-2,2.233082,488,3
Yes,no,richer,secondary,kwilu,Monogamous,protestant,25-29,rural,married,5+,2.233082,488,3
